Ort,schulform,anzahl_schueler,F1_ausstattung
Aachen,Privatschule,178,3.0
Aachen,Gymnasium,,4.0
Aachen,Gymnasium,1250,3.0
Aachen,Realschule,640,5.0
Aachen,Grundschule,195,4.0
Aachen,Gesamtschule,1250,3.0
Aachen,Grundschule,130,4.0
Ahaus,Berufskolleg,2400,1.0
Ahaus,Gymnasium,700,2.0
Ahaus,Gesamtschule,1214,
Ahlen,Berufskolleg,1000,3.0
Ahlen,Berufskolleg,285,3.0
Ahlen,Gesamtschule,1460,5.0
Ahlen,Grundschule,311,6.0
Ahlen,Hauptschule,431,5.0
Ahlen,Berufskolleg,190,3.0
Ahlen,Gesamtschule,1000,5.0
Alfter,Grundschule,260,6.0
Alsdorf,Berufskolleg,1300,3.0
Alsdorf,Gymnasium,650,2.0
Arnsberg,Gymnasium,651,2.0
Arnsberg,Gymnasium,600,4.0
Arnsberg,Grundschule,93,5.0
Attendorn,Grundschule,128,5.0
Attendorn,Sekundarschule,557,4.0
Bad,Grundschule,109,4.0
Bad,Grundschule,314,6.0
Bad,Gymnasium,808,2.0
Bad,Gesamtschule,480,2.0
Bad,Realschule,570,4.0
Bad,Hauptschule,295,5.0
Bad,Grundschule,140,5.0
Bad,Gesamtschule,760,4.0
Baesweiler,Grundschule,381,5.0
Baesweiler,Grundschule,221,6.0
Baesweiler,Grundschule,190,4.0
Barntrup,Gymnasium,710,5.0
Beckum,Berufskolleg,2900,3.0
Bedburg,Grundschule,300,3.0
Bedburg-Hau,Grundschule,200,2.0
Bergheim,Berufskolleg,1030,2.0
Bergheim,Grundschule,340,3.0
Bergheim,Grundschule,196,4.0
Bergheim,Grundschule,200,4.0
Bergisch,Berufskolleg,960,4.0
Bergisch,Förderschule,180,3.0
Bergisch,Grundschule,170,5.0
Bergisch,Grundschule,150,5.0
Bergisch,Realschule,530,4.0
Bergisch,Grundschule,288,3.0
Bergisch,Grundschule,,4.0
Bergkamen,Realschule,430,4.0
Bergkamen,Grundschule,273,6.0
Bergkamen,Realschule,460,5.0
Bergkamen,Grundschule,260,6.0
Bergkamen,Gymnasium,800,3.0
Beverungen,Sekundarschule,445,4.0
Beverungen,Gymnasium,545,3.0
Bielefeld,Grundschule,270,4.0
Bielefeld,Berufskolleg,1800,5.0
Bielefeld,Berufskolleg,3900,2.0
Bielefeld,Berufskolleg,2150,2.0
Bielefeld,Grundschule,245,3.0
Bielefeld,Grundschule,292,5.0
Bielefeld,Weiterbildungskolleg,430,3.0
Bielefeld,Realschule,600,5.0
Bielefeld,Gymnasium,960,2.0
Bielefeld,Gymnasium,957,5.0
Bielefeld,Gesamtschule,709,4.0
Bielefeld,Sonstiges,550,2.0
Bielefeld,Realschule,165,5.0
Bielefeld,Realschule,725,5.0
Bielefeld,Förderschule,207,3.0
