ID_Region,Region,Jahr,Merkmal,Wert,Durchschnittlicher Kaufwert je qm: Baulandverkäufe,Statistik
05111,"Düsseldorf, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,959.98,baureifes Land,Statistik der Kaufwerte für Bauland
05112,"Duisburg, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,277.14,baureifes Land,Statistik der Kaufwerte für Bauland
05113,"Essen, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,322.64,baureifes Land,Statistik der Kaufwerte für Bauland
05114,"Krefeld, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,146.35,baureifes Land,Statistik der Kaufwerte für Bauland
05116,"Mönchengladbach, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,128.48,baureifes Land,Statistik der Kaufwerte für Bauland
05117,"Mülheim an der Ruhr, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,239.44,baureifes Land,Statistik der Kaufwerte für Bauland
05119,"Oberhausen, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,236.46,baureifes Land,Statistik der Kaufwerte für Bauland
05120,"Remscheid, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,125.64,baureifes Land,Statistik der Kaufwerte für Bauland
05122,"Solingen, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,228.69,baureifes Land,Statistik der Kaufwerte für Bauland
05124,"Wuppertal, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,160.85,baureifes Land,Statistik der Kaufwerte für Bauland
05154,"Kleve, Kreis",2018,Durchschnittlicher Kaufwert je qm,108.23,baureifes Land,Statistik der Kaufwerte für Bauland
05158,"Mettmann, Kreis",2018,Durchschnittlicher Kaufwert je qm,339.09,baureifes Land,Statistik der Kaufwerte für Bauland
05162,Rhein-Kreis Neuss,2018,Durchschnittlicher Kaufwert je qm,303.13,baureifes Land,Statistik der Kaufwerte für Bauland
05166,"Viersen, Kreis",2018,Durchschnittlicher Kaufwert je qm,167.94,baureifes Land,Statistik der Kaufwerte für Bauland
05170,"Wesel, Kreis",2018,Durchschnittlicher Kaufwert je qm,249.44,baureifes Land,Statistik der Kaufwerte für Bauland
05314,"Bonn, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,323.26,baureifes Land,Statistik der Kaufwerte für Bauland
05315,"Köln, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,625.36,baureifes Land,Statistik der Kaufwerte für Bauland
05316,"Leverkusen, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,314.5,baureifes Land,Statistik der Kaufwerte für Bauland
05334,Städteregion Aachen (einschl. Stadt Aachen),2018,Durchschnittlicher Kaufwert je qm,107.07,baureifes Land,Statistik der Kaufwerte für Bauland
05334002,"Aachen, krfr. Stadt",2018,Durchschnittlicher Kaufwert je qm,157.82,baureifes Land,Statistik der Kaufwerte für Bauland
05358,"Düren, Kreis",2018,Durchschnittlicher Kaufwert je qm,120.56,baureifes Land,Statistik der Kaufwerte für Bauland
05362,Rhein-Erft-Kreis,2018,Durchschnittlicher Kaufwert je qm,243.03,baureifes Land,Statistik der Kaufwerte für Bauland
05366,"Euskirchen, Kreis",2018,Durchschnittlicher Kaufwert je qm,77.04,baureifes Land,Statistik der Kaufwerte für Bauland
