,Jahr,AGS,Ort,alter,männlich,weiblich
2722,31.12.2018,05974008,Bad Sassendorf,"49,7","47,5","51,7"
2404,31.12.2018,05358012,"Heimbach, Eifel","48,4","47,1","49,8"
2366,31.12.2018,05170016,Hünxe,"48,3","46,9","49,6"
2429,31.12.2018,05366004,Bad Münstereifel,"47,8","46,5","49,0"
2666,31.12.2018,05954020,Herdecke,"47,6","46,1","49,0"
2433,31.12.2018,05366020,Hellenthal,"47,4","46,1","48,7"
2668,31.12.2018,05954028,Sprockhövel,"47,4","46,0","48,7"
2371,31.12.2018,05170036,Schermbeck,"47,3","46,4","48,1"
2385,31.12.2018,05334020,"Monschau, Stadt","47,2","45,7","48,7"
2689,31.12.2018,05962020,Herscheid,"47,0","46,1","48,0"
2622,31.12.2018,05766028,Extertal,"47,0","45,3","48,6"
2375,31.12.2018,05170052,Xanten,"46,9","45,6","48,2"
2665,31.12.2018,05954016,Hattingen,"46,9","45,1","48,5"
2363,31.12.2018,05170004,Alpen,"46,8","45,5","48,2"
2333,31.12.2018,05158004,Erkrath,"46,8","45,2","48,2"
2408,31.12.2018,05358028,Kreuzau,"46,8","45,5","48,0"
2336,31.12.2018,05158016,Hilden,"46,8","45,1","48,3"
2430,31.12.2018,05366008,"Blankenheim, Ahr","46,8","46,0","47,6"
2739,31.12.2018,05978016,Holzwickede,"46,8","45,4","48,1"
2606,31.12.2018,05762008,Beverungen,"46,8","45,5","48,0"
2354,31.12.2018,05166008,Grefrath,"46,7","45,2","48,1"
2369,31.12.2018,05170028,Neukirchen-Vluyn,"46,6","44,9","48,3"
2731,31.12.2018,05974044,Warstein,"46,6","45,2","48,0"
2347,31.12.2018,05162016,"Kaarst, Stadt","46,6","45,0","48,0"
2469,31.12.2018,05378016,Leichlingen (Rhld.),"46,5","45,1","47,9"
2359,31.12.2018,05166028,Tönisvorst,"46,5","45,0","47,9"
2327,31.12.2018,05154048,Rheurdt,"46,5","46,1","46,8"
2340,31.12.2018,05158028,Ratingen,"46,5","45,1","47,8"
2677,31.12.2018,05958024,Marsberg,"46,5","44,9","48,2"
2738,31.12.2018,05978012,Fröndenberg/Ruhr,"46,5","45,2","47,8"
2334,31.12.2018,05158008,Haan,"46,5","45,1","47,8"
2342,31.12.2018,05158036,Wülfrath,"46,4","45,1","47,6"
2320,31.12.2018,05154020,Issum,"46,4","45,5","47,3"
2745,31.12.2018,05978040,Werne,"46,4","44,7","47,9"
2412,31.12.2018,05358044,Nideggen,"46,4","45,1","47,6"
2602,31.12.2018,05758032,Spenge,"46,4","44,7","48,0"
2538,31.12.2018,05562036,Waltrop,"46,4","44,8","47,9"
2685,31.12.2018,05962004,Altena,"46,4","44,9","47,8"
2742,31.12.2018,05978028,Schwerte,"46,3","44,5","47,9"
2373,31.12.2018,05170044,Voerde (Niederrhein),"46,3","45,0","47,6"
2410,31.12.2018,05358036,Linnich,"46,3","44,8","47,8"
2525,31.12.2018,05558036,Olfen,"46,3","45,0","47,5"
2422,31.12.2018,05362020,Erftstadt,"46,3","44,9","47,6"
2476,31.12.2018,05382008,Bad Honnef,"46,3","44,0","48,5"
2609,31.12.2018,05762020,Höxter,"46,3","44,6","47,9"
